Issue Type,Summary,Epic Name,Epic Link,Description,Priority,Labels,Fix Version,Sprint,Story Points,Issue Id,Parent Id
Task,PWBD-L2-E03-10 | Landing Page System,,[L2] Conversion Engineering,"Dedicated campaign pages; median LP conversion 4.02% vs 2.35% sitewide, top decile 11.45%.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E03-10,PWBD-L2-E03
Epic,[L2] Promotions & Pricing,[L2] Promotions & Pricing,,Promotions & Pricing. Level 2 growth-phase epic. Parked in backlog - do not start before 1.0 is live and a conversion baseline exists.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E04,
Task,PWBD-L2-E04-01 | Coupon & Discount Engine,,[L2] Promotions & Pricing,"Percentage, fixed, BOGO, free-shipping rules with stacking control.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E04-01,PWBD-L2-E04
Task,PWBD-L2-E04-02 | Gift Cards & Store Credit,,[L2] Promotions & Pricing,"Issue, redeem, and track balances.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E04-02,PWBD-L2-E04
Task,PWBD-L2-E04-03 | Product Bundles & Kits,,[L2] Promotions & Pricing,Sell grouped SKUs at a bundle price.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E04-03,PWBD-L2-E04
Task,PWBD-L2-E04-04 | Tiered & Volume Pricing,,[L2] Promotions & Pricing,Quantity-break pricing rules.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E04-04,PWBD-L2-E04
Task,PWBD-L2-E04-05 | Automatic Cart Promotions,,[L2] Promotions & Pricing,Threshold-triggered free shipping and gift-with-purchase.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E04-05,PWBD-L2-E04
Epic,[L2] Customer Accounts & Retention,[L2] Customer Accounts & Retention,,Customer Accounts & Retention. Level 2 growth-phase epic. Parked in backlog - do not start before 1.0 is live and a conversion baseline exists.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E05,
Task,PWBD-L2-E05-01 | Wishlists & Saved Items,,[L2] Customer Accounts & Retention,"Persistent lists, shareable, with price-drop notifications.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E05-01,PWBD-L2-E05
Task,PWBD-L2-E05-02 | Saved Addresses & Payment Methods,,[L2] Customer Accounts & Retention,Vaulted tokens for repeat checkout speed.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E05-02,PWBD-L2-E05
Task,PWBD-L2-E05-03 | Order History & Reorder,,[L2] Customer Accounts & Retention,Full history with one-click reorder.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E05-03,PWBD-L2-E05
Task,PWBD-L2-E05-04 | Loyalty & Points Programme,,[L2] Customer Accounts & Retention,Earn/burn mechanics tied to orders and referrals.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E05-04,PWBD-L2-E05
Task,PWBD-L2-E05-05 | Referral Programme,,[L2] Customer Accounts & Retention,Trackable share links with two-sided reward.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E05-05,PWBD-L2-E05
Epic,[L2] Marketing Automation,[L2] Marketing Automation,,Marketing Automation. Level 2 growth-phase epic. Parked in backlog - do not start before 1.0 is live and a conversion baseline exists.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E06,
Task,PWBD-L2-E06-01 | Abandoned Cart Recovery,,[L2] Marketing Automation,Timed email/SMS sequence with deep link back to the cart.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E06-01,PWBD-L2-E06
Task,PWBD-L2-E06-02 | Email & SMS Lifecycle Campaigns,,[L2] Marketing Automation,"Welcome, post-purchase, win-back, replenishment flows.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E06-02,PWBD-L2-E06
Task,PWBD-L2-E06-03 | Browse Abandonment,,[L2] Marketing Automation,Triggered follow-up on high-intent product views.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E06-03,PWBD-L2-E06
Task,PWBD-L2-E06-04 | Affiliate Programme Basics,,[L2] Marketing Automation,"Partner links, attribution, and commission reporting.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E06-04,PWBD-L2-E06
Task,PWBD-L2-E06-05 | Back-in-Stock Notifications,,[L2] Marketing Automation,Capture demand on out-of-stock SKUs.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E06-05,PWBD-L2-E06
Epic,"[L2] Content, SEO & AEO","[L2] Content, SEO & AEO",,"Content, SEO & AEO. Level 2 growth-phase epic. Parked in backlog - do not start before 1.0 is live and a conversion baseline exists.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E07,
Task,PWBD-L2-E07-01 | CMS / Blog Engine,,"[L2] Content, SEO & AEO",Editorial content managed without deploys.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E07-01,PWBD-L2-E07
Task,PWBD-L2-E07-02 | Structured Data & Schema.org,,"[L2] Content, SEO & AEO","Product, Offer, Review, Breadcrumb, FAQ markup.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E07-02,PWBD-L2-E07
Task,PWBD-L2-E07-03 | XML Sitemap & Canonical Management,,"[L2] Content, SEO & AEO",Clean indexation controls for large catalogs.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E07-03,PWBD-L2-E07
Task,PWBD-L2-E07-04 | Answer Engine Optimisation (AEO),,"[L2] Content, SEO & AEO",Semantic HTML and llms.txt so AI search engines can parse and cite the brand; offsets falling organic CTR from zero-click AI Overviews.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E07-04,PWBD-L2-E07
Task,PWBD-L2-E07-05 | Redirect & URL Management,,"[L2] Content, SEO & AEO",Managed 301s to protect equity through catalog changes.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E07-05,PWBD-L2-E07
Epic,[L2] Performance Engineering,[L2] Performance Engineering,,Performance Engineering. Level 2 growth-phase epic. Parked in backlog - do not start before 1.0 is live and a conversion baseline exists.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E08,
Task,PWBD-L2-E08-01 | CDN & Edge Caching,,[L2] Performance Engineering,Global asset and page caching.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E08-01,PWBD-L2-E08
Task,PWBD-L2-E08-02 | Image Optimisation & Lazy Loading,,[L2] Performance Engineering,"Responsive formats, WebP/AVIF, deferred offscreen loads.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E08-02,PWBD-L2-E08
Task,PWBD-L2-E08-03 | Core Web Vitals Budget,,[L2] Performance Engineering,Enforced LCP/INP/CLS thresholds in CI.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E08-03,PWBD-L2-E08
Task,PWBD-L2-E08-04 | Script Bundling & Third-Party Governance,,[L2] Performance Engineering,Bundle splitting and a tag budget to stop marketing scripts degrading checkout.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E08-04,PWBD-L2-E08
Epic,[L2] Payments & Tax Maturity,[L2] Payments & Tax Maturity,,Payments & Tax Maturity. Level 2 growth-phase epic. Parked in backlog - do not start before 1.0 is live and a conversion baseline exists.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E09,
Task,PWBD-L2-E09-01 | Multiple Payment Gateways,,[L2] Payments & Tax Maturity,Redundancy plus regional method coverage.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E09-01,PWBD-L2-E09
Task,PWBD-L2-E09-02 | Buy Now Pay Later,,[L2] Payments & Tax Maturity,"Klarna, Afterpay, Affirm integration.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E09-02,PWBD-L2-E09
Task,PWBD-L2-E09-03 | Subscriptions & Recurring Billing,,[L2] Payments & Tax Maturity,"Plans, dunning, pause/skip management.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E09-03,PWBD-L2-E09
Task,PWBD-L2-E09-04 | Automated Tax Calculation,,[L2] Payments & Tax Maturity,Jurisdiction-accurate sales tax/VAT via a tax service.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E09-04,PWBD-L2-E09
Task,PWBD-L2-E09-05 | Refunds & Partial Refunds,,[L2] Payments & Tax Maturity,Self-service admin refund flows tied to the gateway.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E09-05,PWBD-L2-E09
Epic,[L2] Inventory & Operations,[L2] Inventory & Operations,,Inventory & Operations. Level 2 growth-phase epic. Parked in backlog - do not start before 1.0 is live and a conversion baseline exists.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E10,
Task,PWBD-L2-E10-01 | Low-Stock Alerts & Reorder Points,,[L2] Inventory & Operations,Operational thresholds with notifications.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E10-01,PWBD-L2-E10
Task,PWBD-L2-E10-02 | Multi-Warehouse Basics,,[L2] Inventory & Operations,Stock by location with simple routing rules.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E10-02,PWBD-L2-E10
Task,PWBD-L2-E10-03 | Returns / RMA Workflow,,[L2] Inventory & Operations,"Customer-initiated returns, labels, and status tracking.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E10-03,PWBD-L2-E10
Task,PWBD-L2-E10-04 | Purchase Orders & Supplier Records,,[L2] Inventory & Operations,Inbound stock tracking.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E10-04,PWBD-L2-E10
Task,PWBD-L2-E10-05 | Bulk Import / Export,,[L2] Inventory & Operations,CSV catalog and inventory operations.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E10-05,PWBD-L2-E10
Epic,[L2] Customer Service,[L2] Customer Service,,Customer Service. Level 2 growth-phase epic. Parked in backlog - do not start before 1.0 is live and a conversion baseline exists.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E11,
Task,PWBD-L2-E11-01 | Live Chat,,[L2] Customer Service,Real-time chat with routing and offline capture.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E11-01,PWBD-L2-E11
Task,PWBD-L2-E11-02 | Help Centre / FAQ,,[L2] Customer Service,Searchable self-service knowledge base.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E11-02,PWBD-L2-E11
Task,PWBD-L2-E11-03 | Ticketing & Shared Inbox,,[L2] Customer Service,Threaded support with SLAs.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E11-03,PWBD-L2-E11
Task,PWBD-L2-E11-04 | Order Tracking Page,,[L2] Customer Service,Carrier-aware self-service tracking.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E11-04,PWBD-L2-E11
Epic,"[L2] Security, Privacy & Accessibility","[L2] Security, Privacy & Accessibility",,"Security, Privacy & Accessibility. Level 2 growth-phase epic. Parked in backlog - do not start before 1.0 is live and a conversion baseline exists.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E12,
Task,PWBD-L2-E12-01 | Two-Factor Authentication,,"[L2] Security, Privacy & Accessibility",TOTP or SMS second factor for customer and admin accounts.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E12-01,PWBD-L2-E12
Task,PWBD-L2-E12-02 | Fraud Screening,,"[L2] Security, Privacy & Accessibility",Rules plus gateway risk scoring on high-risk orders.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E12-02,PWBD-L2-E12
Task,PWBD-L2-E12-03 | Consent Management (GDPR/CCPA),,"[L2] Security, Privacy & Accessibility","Granular cookie/consent capture, data access and erasure request handling.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E12-03,PWBD-L2-E12
Task,PWBD-L2-E12-04 | WCAG 2.1 AA Accessibility,,"[L2] Security, Privacy & Accessibility","Contrast, keyboard navigation, target sizes, screen reader support.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E12-04,PWBD-L2-E12
Task,PWBD-L2-E12-05 | Rate Limiting & Bot Protection,,"[L2] Security, Privacy & Accessibility","Protect login, checkout, and search endpoints.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E12-05,PWBD-L2-E12
Epic,[L2] Analytics & Experimentation,[L2] Analytics & Experimentation,,Analytics & Experimentation. Level 2 growth-phase epic. Parked in backlog - do not start before 1.0 is live and a conversion baseline exists.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E13,
Task,PWBD-L2-E13-01 | Event & Funnel Tracking,,[L2] Analytics & Experimentation,Full commerce event schema from view to purchase.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E13-01,PWBD-L2-E13
Task,PWBD-L2-E13-02 | A/B Testing Framework,,[L2] Analytics & Experimentation,Server- or edge-side experimentation with guardrail metrics.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E13-02,PWBD-L2-E13
Task,PWBD-L2-E13-03 | Heatmaps & Session Replay,,[L2] Analytics & Experimentation,Qualitative diagnosis of friction points.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E13-03,PWBD-L2-E13
Task,PWBD-L2-E13-04 | Cohort & LTV Dashboards,,[L2] Analytics & Experimentation,Retention and unit-economics reporting.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E13-04,PWBD-L2-E13
Task,PWBD-L2-E13-05 | Attribution Reporting,,[L2] Analytics & Experimentation,Channel-level ROAS with post-click alignment.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E13-05,PWBD-L2-E13
Epic,[L2] Mobile Experience,[L2] Mobile Experience,,Mobile Experience. Level 2 growth-phase epic. Parked in backlog - do not start before 1.0 is live and a conversion baseline exists.,Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E14,
Task,PWBD-L2-E14-01 | Progressive Web App,,[L2] Mobile Experience,"Installable, offline-tolerant storefront shell.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E14-01,PWBD-L2-E14
Task,PWBD-L2-E14-02 | Push Notifications,,[L2] Mobile Experience,"Web push for price drops, back-in-stock, and order updates.",Low,level-2 backlog growth,2.0 - Growth (Backlog),,,PWBD-L2-E14-02,PWBD-L2-E14
